date,product,achievement_rate,reason,countermeasure,failure_category
2026-03-19,E5SP TOP (Automation),1.13,No notable issues,,no_issue
2026-03-20,E5SP TOP (Automation),0.56,Injection-molded parts shortage due to mid-week overproduction,Day-shift automation equipment stopped,injection_machine
2026-03-21,E5SP TOP (Automation),,,,no_issue
2026-03-22,E5SP TOP (Automation),,,,no_issue
2026-03-23,E5SP TOP (Automation),1.05,No notable issues,,no_issue
2026-03-24,E5SP TOP (Automation),0.6,Injection-molded parts shortage,Night-shift automation equipment stopped,injection_machine
2026-03-25,E5SP TOP (Automation),1.06,No notable issues,,no_issue
2026-03-26,E5SP TOP (Automation),1.11,No notable issues,,no_issue
2026-03-27,E5SP TOP (Automation),0.93,"PET tape defect scraps increased (170 pcs) – dislodged: 32, wrinkled: 44, folded: 90, other: 4",PET tape issue identified; improvement requested from supplier,quality_defect
2026-03-28,E5SP TOP (Automation),,,,no_issue
2026-03-29,E5SP TOP (Automation),,,,no_issue
2026-03-30,E5SP TOP (Automation),0.71,Injection-molded parts shortage으로 자동화 설비 정지,Automation cycle faster than injection C/T; flexible operation applied,injection_machine
2026-03-31,E5SP TOP (Automation),0.69,Tape dislodgement; improved tape sample testing,Equipment inspected and improved parts tested; normal operation resumed,quality_defect
2026-04-01,E5SP TOP (Automation),0.65,Tape release liner peeling fault and excessive micro-stoppages,Equipment and tape inspected; restarted,quality_defect
2026-04-02,E5SP TOP (Automation),0.76,Silicone process product transfer jig movement error (delayed resolution),Equipment inspected; restarted (power cycled; transfer jig position checked),equipment_fault
2026-04-03,E5SP TOP (Automation),0.71,Tape process suction fault; equipment stopped,Equipment inspected; right-side suction pad replaced; restarted,quality_defect
2026-04-04,E5SP TOP (Automation),,,,no_issue
2026-04-05,E5SP TOP (Automation),1.16,No notable issues,Manual silicone tape operation in progress,no_issue
2026-04-06,E5SP TOP (Automation),0.45,Safety incident on automation equipment; workers refused to operate automation,Night-shift automation stopped; manual work performed; automation issue improvements implemented,safety_incident
2026-04-07,E5SP TOP (Automation),0.91,Robot suction failure,Repaired and restarted (50 min lost),equipment_fault
2026-04-08,E5SP TOP (Automation),0.63,Tape right-side vacuum fault; equipment stopped,Day-shift inspection on the 9th; restarted,quality_defect
2026-04-09,E5SP TOP (Automation),0.79,Tape right-side vacuum fault; equipment stopped,Day-shift inspection on the 9th; restarted (200 min lost),quality_defect
2026-04-10,E5SP TOP (Automation),1.04,No notable issues,,no_issue
2026-04-11,E5SP TOP (Automation),,,,no_issue
2026-04-12,E5SP TOP (Automation),,,,no_issue
2026-04-13,E5SP TOP (Automation),0.73,E5SP TOP Sunday inspection backlog (315 pcs) completed; E5S TOP inspection proceeded,100% achievement when E5SP TOP 315 pcs included,other
2026-04-14,E5SP TOP (Automation),0.88,Day shift: one worker took half-day PM leave; final output reduced,E5S TOP tape application completed around 17:00 on the 15th,other
2026-04-15,E5SP TOP (Automation),0.93,No notable issues,Day shift E5S TOP completed; night shift E5SP automation started,no_issue
2026-04-16,E5SP TOP (Automation),0.68,Injection-molded parts shortage due to injection machine issue,,injection_machine
2026-04-17,E5SP TOP (Automation),0.79,Injection-molded parts shortage due to injection machine issue,,injection_machine
2026-04-18,E5SP TOP (Automation),,,,no_issue
2026-04-19,E5SP TOP (Automation),,,,no_issue
2026-04-20,E5SP TOP (Automation),0.76,Injection-molded parts shortage due to injection machine issue,,injection_machine
2026-04-21,E5SP TOP (Automation),0.9,No notable issues other than micro-stoppages,,no_issue
2026-04-22,E5SP TOP (Automation),0.9,No notable issues other than micro-stoppages,,no_issue
2026-04-23,E5SP TOP (Automation),1.0,No notable issues,,no_issue
2026-04-24,E5SP TOP (Automation),0.99,No notable issues,,no_issue
2026-04-25,E5SP TOP (Automation),,,,no_issue
2026-04-26,E5SP TOP (Automation),,,,no_issue
2026-04-27,E5SP TOP (Automation),,,,no_issue
2026-04-28,E5SP TOP (Automation),,,,no_issue
2026-04-29,E5SP TOP (Automation),,,,no_issue
2026-04-30,E5SP TOP (Automation),,,,no_issue
